             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurrences	# Books	Letterpairs
0.00410424061876344	0.00416832063088968	0.00074526187701319	0.00283056346421241	0.00758550898913513	120	120	 R	Space R
0.00408969201990439	0.00421738222869496	0.00109073879354775	0.00220042969020722	0.00815515746893961	120	120	RI	RI
0.00407443236783702	0.00408469588983637	0.00072784218481376	0.00226595230422172	0.00590506936924051	120	120	 E	Space E
0.00404496926606210	0.00410712052010301	0.00104107232018801	0.00192344644710042	0.01169352712039360	120	120	 N	Space N
0.00394756577765398	0.00408883452702169	0.00101521594892004	0.00253705136599012	0.00847104261942277	120	120	CO	CO
0.00384844287517648	0.00383762072928725	0.00056237602524585	0.00249298846992833	0.00632309752816087	120	120	BE	BE
0.00381168091453617	0.00376252332496015	0.00090516574891025	0.00134754241951241	0.00662053282145957	120	120	CE	CE
0.00376204373066865	0.00384243496106076	0.00117446796755274	0.00165968417660329	0.00773792033031200	120	120	RA	RA
0.00371294358758266	0.00398027952487690	0.00135336144024366	0.00218499635833940	0.01210759863490477	120	120	CH	CH
0.00357029607619763	0.00368748084412524	0.00085819775750890	0.00224984124104146	0.00707971657215750	120	120	LI	LI
0.00351903265766746	0.00356996559648937	0.00084102602641107	0.00177864322701362	0.00630204381466965	120	120	UR	UR
0.00351122259575012	0.00358602759450719	0.00088189621066085	0.00149889488258657	0.00711158887621983	120	120	HO	HO
0.00344594674196044	0.00354063879842222	0.00086964319306391	0.00175861113036246	0.00620033184874683	120	120	MA	MA
0.00342581639302084	0.00350026234771254	0.00089066204673252	0.00138880655787682	0.00585457311141376	120	120	 G	Space G
0.00339312973708955	0.00322378312570358	0.00112146539404822	0.00092674216224769	0.00572746002474908	120	120	IC	IC
0.00336693703648649	0.00338615223972019	0.00060976188017622	0.00187361860323321	0.00608943390012707	120	120	OM	OM
0.00330668729164933	0.00337378508809058	0.00062758073439484	0.00159220159982384	0.00630636739675866	120	120	EL	EL
0.00324270435399976	0.00320731772779426	0.00074212754037426	0.00064223646373980	0.00497817509944248	120	120	WH	WH
0.00319283903414860	0.00328940494620358	0.00135703198328271	0.00071110445750215	0.00737779474683047	120	120	WA	WA
0.00318639374321745	0.00337335224943652	0.00114206971184988	0.00122596595901187	0.01107569901222848	120	120	NO	NO
0.00317909570174302	0.00330763326406908	0.00089702674330358	0.00141648395530541	0.00585578008793328	120	120	LA	LA
0.00312377499019992	0.00315528998475929	0.00067988425241940	0.00123662395446241	0.00582247028500436	120	120	M 	M Space
0.00302345354545909	0.00309064157542894	0.00056025856113443	0.00189350527690023	0.00628146497060067	120	120	FO	FO
0.00302127217311648	0.00310513518074656	0.00062076838683502	0.00191223547409275	0.00498763569302988	120	120	IL	IL
0.00302125391529099	0.00324014356855573	0.00085733216386985	0.00187318723815662	0.00681920414021452	120	120	US	US
0.00286101145169557	0.00284257862746775	0.00062822072147842	0.00156414870752150	0.00504695071682786	120	120	EE	EE
0.00284544771543796	0.00288693693886569	0.00064951023666540	0.00163322445170322	0.00482320814271022	120	120	WI	WI
0.00283983514203786	0.00287590814743933	0.00059873515144402	0.00138868520840753	0.00459346851747095	120	120	OT	OT
0.00283416643896898	0.00321304686690858	0.00170682779211685	0.00031622623267805	0.00928929577576090	120	120	IO	IO
0.00280442958435548	0.00280991175571737	0.00069652495126936	0.00135151466322913	0.00549218253011810	120	120	SI	SI
0.00278196481040267	0.00288160123997320	0.00071875475759534	0.00125036099131846	0.00552492392000090	120	120	UT	UT
0.00270801472983343	0.00281395512400691	0.00076525610919681	0.00117505569471717	0.00448993647834761	120	120	OW	OW
0.00268371992992918	0.00276351227520985	0.00083797737277809	0.00113704441809001	0.00474738374107700	120	120	AD	AD
0.00268366935237373	0.00268367299086105	0.00075908917754455	0.00093579334688362	0.00672288676957600	120	120	LY	LY
0.00268269948664679	0.00266044287050912	0.00074582240694550	0.00078967202147569	0.00575046866284653	120	120	WE	WE
0.00265064296260031	0.00272105591592893	0.00065429522988090	0.00123734862224302	0.00499988943190111	120	120	LO	LO
0.00262800314247995	0.00272366564620359	0.00066345457694341	0.00150241647404917	0.00463094266421011	120	120	TA	TA
0.00259988645952472	0.00266835012579588	0.00050852483324773	0.00160932968095392	0.00472695130855847	120	120	PE	PE
0.00259826723266864	0.00277380730460601	0.00070708430179220	0.00174128213352885	0.00608162132378834	120	120	CA	CA
0.00258351320473824	0.00264112390699712	0.00052007920275641	0.00158224271603264	0.00478780040449630	120	120	UN	UN
0.00257499641653414	0.00258008645445687	0.00052435396836152	0.00144073853580308	0.00443027960489139	120	120	RS	RS
0.00256607741245283	0.00258998511509864	0.00082526255794139	0.00101928456639486	0.00484023280531991	120	120	NS	NS
0.00255414543316347	0.00263316458662587	0.00066369684768590	0.00141213580956340	0.00558909956218720	120	120	ET	ET
0.00254710000569184	0.00254950895378924	0.00049304968184231	0.00085318451650055	0.00378197682653900	120	120	SO	SO
0.00252217191183625	0.00254872394176708	0.00071373791152610	0.00116808523302184	0.00581805678712970	120	120	AC	AC
0.00252110439058353	0.00253381918923164	0.00069585954945917	0.00113832509969645	0.00530625961759556	120	120	TR	TR
0.00247984871717064	0.00259097301031864	0.00092021377906508	0.00090474502084581	0.00633890839830962	120	120	SH	SH
0.00245687841817417	0.00255085478110661	0.00072334182192774	0.00126087657106026	0.00543763983812400	120	120	DI	DI
0.00243821137906884	0.00260874559237916	0.00084347484069684	0.00099222194794949	0.00628834940355959	120	120	AI	AI
0.00232718076350277	0.00236238319851149	0.00060439488764975	0.00102375792149068	0.00463011869288341	120	120	SS	SS
0.00228571070730222	0.00231491191247862	0.00049584359794651	0.00102469052085923	0.00429056541636504	120	120	IR	IR
0.00223056590462108	0.00232815874121156	0.00058259933959277	0.00151495351077166	0.00522677696252018	120	120	GE	GE
0.00221378530090074	0.00220332015742912	0.00052542919705303	0.00100536866869081	0.00413829153900884	120	120	RT	RT
0.00220154936105410	0.00222878791064548	0.00052776194366450	0.00051233412653383	0.00382043107630466	120	120	UL	UL
0.00211866230627153	0.00216965849389235	0.00079659072826858	0.00066669352239768	0.00536906078721368	120	120	EC	EC
0.00210460909391568	0.00209687092098366	0.00066525053210245	0.00054127983684279	0.00430921937753505	120	120	NC	NC
0.00209064936610916	0.00212242798227840	0.00053675835020451	0.00073258211906788	0.00395037771155312	120	120	IM	IM
0.00207546527848661	0.00213185682621087	0.00044118109629035	0.00072270143538103	0.00328621207399643	120	120	MO	MO
0.00207261477961039	0.00212209674537163	0.00056138539397407	0.00077273535613573	0.00434856511515907	120	120	IE	IE
0.00202771206488679	0.00205835577710654	0.00043182163424899	0.00111510439034681	0.00328789562978997	120	120	EM	EM
0.00202650103749096	0.00204463711134644	0.00077291685836521	0.00064728289982739	0.00630329471089833	120	120	PR	PR
0.00200372045419969	0.00197513350470581	0.00069556663218314	0.00040859705132656	0.00372724646056053	120	120	LD	LD
0.00199555117681700	0.00196575001910063	0.00058271428525318	0.00067990594634409	0.00368182150476178	120	120	GH	GH
0.00194931385348255	0.00202200126675387	0.00054842806206513	0.00085831231920183	0.00433440040794357	120	120	OL	OL
0.00194214721401040	0.00192837636589217	0.00053079632673114	0.00060452250208682	0.00353746626916324	120	120	PO	PO
0.00190349801272126	0.00196727544430836	0.00041390492889403	0.00120033052579696	0.00387273416480689	120	120	 U	Space U
0.00188125590049081	0.00187959475014590	0.00056071074577516	0.00077696952247072	0.00356950621830647	120	120	TS	TS
0.00187802278280920	0.00204914895014892	0.00094748076796657	0.00048160004532706	0.00558919112906978	120	120	OO	OO
0.00182805469020422	0.00183907820179660	0.00042044574168985	0.00076740251369642	0.00322973428095234	120	120	OS	OS
0.00181584105145844	0.00185959935134232	0.00057658833813532	0.00076408018820501	0.00485621516070070	120	120	PA	PA
0.00181255584386468	0.00199523371749735	0.00068573676894161	0.00094436813186813	0.00520058329861318	120	120	ID	ID
