             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurances	# Books	Lettertriplets
0.02133476147318118	0.02097501296158063	0.00346134405200700	0.00525056899943020	0.02970701171307799	120	120	 TH
0.01780637282398607	0.01753449890909735	0.00343277287267757	0.00485540815045407	0.02638669291084508	120	120	THE
0.01541943161552129	0.01506066460765987	0.00288151334779917	0.00402806527316802	0.02349714433222548	120	120	HE 
0.00776389079848827	0.00786621611019927	0.00165425537810765	0.00282809617780468	0.01414173552558932	120	120	ND 
0.00749604793941399	0.00753911177136572	0.00143293774082958	0.00173999542868916	0.01318535293512133	120	120	 AN
0.00723983009062038	0.00720252965055722	0.00218166361610376	0.00318845308663609	0.01234239974448267	120	120	 OF
0.00715538693754334	0.00718071785662630	0.00153509192494350	0.00202972639738856	0.01286531101150092	120	120	AND
0.00695875710379799	0.00696457667678527	0.00181164181573891	0.00224988565141607	0.01135206393672242	120	120	ED 
0.00693102541073583	0.00691269555296375	0.00220405069459529	0.00278763049393831	0.01217944226171950	120	120	OF 
0.00541162360946239	0.00534560249418731	0.00108612585041052	0.00256331426474328	0.00818834553568031	120	120	 TO
0.00536653141697860	0.00541909794981953	0.00123711376007001	0.00316384833753494	0.01040459954212426	120	120	 IN
0.00513299113392441	0.00521014762476658	0.00107334717230617	0.00314996814181212	0.00880059259885535	120	120	NG 
0.00509409933493703	0.00519172120716291	0.00099380039301457	0.00321026241043449	0.00873141763519622	120	120	ING
0.00501005201518971	0.00521628078932232	0.00107415838874536	0.00327891556878971	0.00882866110788004	120	120	ER 
0.00489805141292501	0.00489423746428631	0.00096488942841244	0.00217611180923775	0.00795901328831562	120	120	TO 
0.00446432747881503	0.00458645207831143	0.00100787021020348	0.00262101516003141	0.01020224538316111	120	120	IN 
0.00424947235718232	0.00410501234975049	0.00110927244976520	0.00146407810726755	0.00655898488981518	120	120	ES 
0.00422121532317281	0.00423213786950285	0.00122236395177932	0.00068006296819720	0.00824624817457769	120	120	IS 
0.00412908594715651	0.00414055813988635	0.00068966685243686	0.00228324099500053	0.00655796017231937	120	120	E T
0.00408863260715573	0.00412039373881795	0.00067683913192774	0.00212066972923031	0.00577704576115475	120	120	RE 
0.00407459751219929	0.00419125914065442	0.00114174052539962	0.00192130920269435	0.00751989533118661	120	120	ON 
0.00383507186583930	0.00389168033766208	0.00085740496399847	0.00207994212334961	0.00590673866050290	120	120	 A 
0.00373386058112130	0.00381950396627300	0.00110256984079079	0.00176323944393470	0.00675848766594837	120	120	AT 
0.00367772585821733	0.00357143298144800	0.00106333257866085	0.00077342072477811	0.00572636466807010	120	120	AS 
0.00360097055255321	0.00368854972119171	0.00104462201014061	0.00080400343814083	0.00750710850096995	120	120	D T
0.00356378335067389	0.00346244079132054	0.00066894006211679	0.00117502003972534	0.00513889314575863	120	120	S A
0.00350565762779667	0.00352718895122858	0.00067330846477318	0.00167824696938893	0.00627424299740843	120	120	N T
0.00345699085600513	0.00348021823182552	0.00046816746637813	0.00186092004395074	0.00511446760504989	120	120	E A
0.00322874097955759	0.00324190957015270	0.00056547840133378	0.00197019675399947	0.00509462642190188	120	120	 BE
0.00319859591310421	0.00326799616398521	0.00082435631416908	0.00212832149012133	0.00797049303494585	120	120	 CO
0.00315613396566303	0.00313814735406396	0.00074429779249622	0.00060119176005125	0.00494592163175072	120	120	 WH
0.00313436074937140	0.00323645937084267	0.00064089104982836	0.00189111177465910	0.00488623829515166	120	120	E S
0.00311199026675385	0.00307703338253521	0.00062533819960128	0.00080963709586554	0.00498627411594785	120	120	S T
0.00296178145062793	0.00296219162491396	0.00061202376963452	0.00125228163137851	0.00498107674242012	120	120	EN 
0.00286770764253130	0.00280831692831891	0.00055476337160525	0.00128527876948038	0.00412102022442037	120	120	T T
0.00284500258971332	0.00302370969082126	0.00111147275187013	0.00096255066267911	0.00665414395850195	120	120	HER
0.00277841038487816	0.00322928057597921	0.00192199810702282	0.00023076255380049	0.00842690235328930	120	120	 HE
0.00275046740674534	0.00295310142428486	0.00107728565161954	0.00084260088451922	0.00576069622835103	120	120	 HA
0.00271182975973518	0.00270513000573793	0.00056678904242736	0.00162746191287051	0.00414726793632273	120	120	E O
0.00268057162228754	0.00275860995399253	0.00111666773798446	0.00065430910431281	0.00659868994224130	120	120	F T
0.00263809114420229	0.00270213486073115	0.00060879752431574	0.00151564514072836	0.00461539948578167	120	120	OR 
0.00260853468727806	0.00266866732187547	0.00124187861477483	0.00027104643283534	0.00635030553709960	120	120	 WA
0.00255479625911897	0.00257000187610489	0.00075622610018882	0.00088526216299679	0.00669580245573079	120	120	LY 
0.00251050218395316	0.00255446179057510	0.00060601137068879	0.00137313512758873	0.00424933745155820	120	120	 WI
0.00250741219729922	0.00239284130002967	0.00063984796781293	0.00073886358969148	0.00382839361692477	120	120	ERE
0.00247790232005878	0.00252912519846978	0.00075376273881491	0.00096947873206032	0.00471214914976439	120	120	E W
0.00247220413134077	0.00257975175253756	0.00052204436795087	0.00140717619998645	0.00550421342782121	120	120	 FO
0.00246827440826969	0.00252039817959397	0.00074671872087437	0.00111156217982176	0.00495896850395207	120	120	ENT
0.00237692138464040	0.00232432150513562	0.00078227853042850	0.00076136150773749	0.00405116364718047	120	120	S O
0.00232912484999947	0.00244725204172772	0.00066450618049435	0.00129995337553243	0.00615311115138136	120	120	TH 
0.00231245831431881	0.00263683953559206	0.00154267005708315	0.00022760277876808	0.00838450171088089	120	120	ION
0.00229643278382007	0.00235592940572072	0.00046073086252489	0.00153473891499938	0.00512759418123264	120	120	FOR
